"id","name","stateAfter","stateBefore","timeElapsed"
"5750d7d2-8d70-46d3-b3d3-e50c6724e78f","bottomleft","noti","noti","968"
"5c82ca0e-c85e-407e-a932-a9fa0812f388","bottom","lock","home","570"
"b56f7c86-2833-4683-98f9-add898b9cdc0","left","app","app","69"
"15441f64-3d96-4bfb-b73d-9308fc7f4f95","top","home","app","645"
"e9f40c94-96f3-40ae-b709-942d01727962","top","home","app","910"
"3c7cfa5d-3e3a-4634-a6db-72f40735e038","topleft","lock","lock","310"
"7ef592c7-cbfc-4d95-b1ad-7a1dce87bb00","left","brightness","home","2052"
"e70ecbb8-825e-4b55-a680-605bd28c0ff8","topleft","noti","noti","391"
"ea12a87a-a953-4ecf-9ab2-b9d2c73dec06","left","home","home","675"
"7c0fd715-e30e-4be3-a49b-9f03b010c52e","bottomleft","noti","noti","414"
"51e626d8-5fbb-47bf-9d31-9300156a18c7","top","lock","lock","68"
"5bf1acce-ba79-4516-8737-cfff36878a0a","top","lock","lock","358"
"c6120a89-4bd0-415d-afc9-25a270d39a9e","top","lock","lock","1018"
"5941d5ce-c815-4e34-826d-16f520456cd7","top","home","brightness","6440"
"f17df720-fc2b-47f7-aabd-7d8119cb5ada","left","lock","lock","709"
"64508fa7-3cbe-4d7c-905f-3aa0a130dbf6","left","lock","lock","441"
"336772b6-2b8d-456d-89b6-1b8eb9c30399","left","brightness","brightness","396"
"e3db5696-0e05-4e92-9c82-c1833d5e5b74","left","brightness","brightness","762"
"6a01de66-bae4-4652-bfef-30a8621618d4","top","home","brightness","515"
"c608db70-0d22-46e7-8eb7-c8e4623c3840","top","home","app","782"
"86cf4885-0544-4f5b-b690-3e1f269b10d7","bottom","lock","home","991"
"a2bb6dcd-55f4-40a9-a4b6-435e2b19a13d","bottomleft","home","home","712"
"11de335f-947d-4982-bdaa-d982d84dbe83","topleft","noti","noti","100"
"1c74a0f3-05ad-4cec-8939-6c17f114ede6","left","app","app","6647"
"6b886611-904c-401e-9a49-cf1ca12456a7","left","app","app","3847"
"65b1d2e5-f576-4a46-9c6e-073671e3b907","top","home","noti","1454"
"9d71973a-5605-4bbd-bfbe-e844dd549949","bottomleft","gesture","gesture","85"
"ba3ef2be-dcb2-4a2f-8bf1-bfd3b94c1c9e","top","home","brightness","248"
"ba26ff3e-b88c-4474-b25a-e3023f463d2c","bottomleft","noti","noti","649"
"90d4a6aa-f644-413b-8a82-e33f3b9181f2","topleft","noti","home","712"
"bde83e49-10aa-4929-a02f-31daa249255f","topleft","noti","app","468"
"b9fba370-ac29-44df-b4bf-10822b97a45c","left","home","home","641"
"6b5f9cf4-d4ec-4806-a12b-473d4600f19b","topleft","noti","brightness","403"
"e1643524-f19a-4c7a-b8f6-5052f49b1b98","left","brightness","app","860"
"163e7d36-3e83-432f-ac47-d2108cf58a85","top","home","home","54"
"25361bd6-8fdf-4970-903f-7f9c3d66eb16","left","brightness","brightness","546"
"88551ad4-3426-47e5-8d83-0c85cb5628a1","top","home","noti","4149"
"df4f2b57-3fbf-467c-a3fe-b8c63c5412a2","bottom","lock","app","369"
"d5ba0d9b-cf6d-424f-bfb7-5947a0536f08","left","app","app","100"
"5b0fae80-60b4-4ead-a897-e3af02ff917f","left","brightness","app","1743"
"fa353011-81d5-4ba6-8824-53698967d67c","top","home","home","878"
"069dd4f0-bd65-483f-94dd-0f57a3a819ee","left","brightness","brightness","2453"
"4be477aa-c1ac-41b2-aedf-d45658dbb330","bottomleft","noti","noti","94"
"17d10694-5471-4850-a70f-da9b5b40a5e9","topleft","noti","noti","839"
"63da8268-da10-4bb4-be25-b7abb8fa08ec","bottomleft","gesture","home","308"
"f015108f-cbb2-45c9-acd5-9688266a1093","top","home","app","494"
"47eb95d0-3e73-4d76-86aa-f0c63bd51468","left","app","app","4259"
"57d8cc58-e10c-4446-9024-177dbf0151eb","top","home","brightness","365"
"f789e17b-4b47-4214-9d51-e069000e5542","bottom","lock","noti","537"
"16e27c1b-5d66-447f-9191-fb19838a1be2","bottom","lock","lock","556"
"8f9eb76a-b7cf-4f30-b8f3-51c94feeb03e","left","brightness","app","607"
"3fbb1085-96fc-43d6-a942-8195fd1e82de","bottom","lock","app","9680"
"97022ced-3311-4308-a10a-02a749081b9e","topleft","noti","app","368"
"9e79f782-b1b9-4c1b-a145-9c4052c79dfa","left","lock","lock","622"
"39dc4a0f-ff2c-467d-8bf6-876e6041f629","bottomleft","brightness","brightness","728"
"29110a14-4eb2-4530-9258-85cdfad6f496","top","home","brightness","2086"
"d9fb421a-24d8-4e08-9af0-8ed36546c6ec","bottom","lock","home","252"
"780bfadf-403b-47e3-a291-396f8f98e03b","bottom","lock","noti","272"
"873ba1d2-44a3-418a-b183-697f50351afa","top","home","brightness","419"
"18fd7623-c268-4357-83f4-b51d7b3185e9","left","app","app","1130"
"4160bed8-dffc-46e9-9aa7-f4a44403bf27","left","brightness","brightness","8161"
"4165b28c-806c-4e08-91aa-0b187de16dc3","top","home","app","2941"
"990d1e5f-98eb-4046-802a-545404c1ec86","left","brightness","brightness","596"
"a934dca1-7168-42e9-917b-c78b0c6fac2b","topleft","lock","lock","414"
"8d8ae947-43fa-4c15-9057-50053c36ab55","left","app","app","8769"
"121cd140-caf0-412b-8faa-15469b383f7e","left","brightness","app","423"
"9d26af1b-5021-457c-a294-fba472bbbb9c","bottomleft","noti","noti","901"
"7540a5d3-6325-48a8-8e3d-46e0c1b7de4b","left","brightness","brightness","1282"
"e0b697d7-93b4-4d11-b93f-67820666d637","left","home","home","2802"
"03636a32-bbd1-4e74-afb6-fd9471673db0","left","brightness","brightness","1694"
"93de546a-a041-41cc-a7b0-923141663d57","left","home","home","1678"
"1cd5fbd1-7460-42d1-ad73-14dd58a5040e","top","home","brightness","1804"
"c14b9a2e-e3c8-4554-84d8-d800eb48ae9c","top","lock","lock","712"
"dd1c6cec-ef95-4156-83e1-aca3d8206428","top","home","noti","2339"
"236ab844-10a4-4132-b1f4-cc43181959d4","top","home","home","339"
"e1eab5f7-5082-4a30-9e37-b7a3ded1957b","bottomleft","home","home","808"
"4696a37a-fcb5-4f95-8292-aca28256c212","bottomleft","lock","lock","453"
"2c897a9a-f396-4d4f-b808-a853c867f078","top","home","brightness","10175"
"c8edd3b6-215d-4e65-820f-8710649302d3","bottomleft","gesture","lock","408"
"087ca3f4-4855-4c1c-8037-a82c77cad8ed","bottomleft","gesture","lock","2185"
"3a9fcd9f-66ea-466f-ba7d-95053e4e0a9d","bottom","lock","lock","1312"
"17dbda97-4ef9-446c-8d94-7249e5ec172e","top","home","app","6058"
"7fdcc9b5-9d75-4025-8bca-3ce30ba51eef","topleft","noti","home","1261"
